,max_drawdown
sim_739,-0.19659239132777107
sim_740,-0.380199103267271
sim_741,-0.2991044306670698
sim_742,-0.2271546514391105
sim_743,-0.14320647434441414
sim_744,-0.2028149750969187
sim_745,-0.18360579943541144
sim_746,-0.2032320485804332
sim_747,-0.2416883581771323
sim_748,-0.20399244002083672
sim_749,-0.1800641493883124
sim_750,-0.20032224293519973
sim_751,-0.16605650314226428
sim_752,-0.2320860690975144
sim_753,-0.20615143474614683
sim_754,-0.18098657728464096
sim_755,-0.15785794066317516
sim_756,-0.2924429062731707
sim_757,-0.20745039863404957
sim_758,-0.15547603418146128
sim_759,-0.1597778494048302
sim_760,-0.1601821651669728
sim_761,-0.12503989540629346
sim_762,-0.19998480020704223
sim_763,-0.29036941144707884
sim_764,-0.19014732473534945
sim_765,-0.2708279362820233
sim_766,-0.3242626301110417
sim_767,-0.3386905088452814
sim_768,-0.2585405211866201
sim_769,-0.27511865779342337
sim_770,-0.19367295058406075
sim_771,-0.2258951024521696
sim_772,-0.24327077524485707
sim_773,-0.17645100085496124
sim_774,-0.3061880807565819
sim_775,-0.3773062065677453
sim_776,-0.3303518500616207
sim_777,-0.18450980437076625
sim_778,-0.1362914641360362
sim_779,-0.25264433213605475
sim_780,-0.2283347080662571
sim_781,-0.23174585286221705
sim_782,-0.09517902158488989
sim_783,-0.16857836891386535
sim_784,-0.26788318757504737
sim_785,-0.21178634187093603
sim_786,-0.270870054053574
sim_787,-0.15445716436414436
sim_788,-0.2138846882720009
sim_789,-0.29707410784492516
sim_790,-0.13377334074427283
sim_791,-0.2398761299062181
sim_792,-0.23652956588838814
sim_793,-0.3006321568401952
sim_794,-0.36082257594168676
sim_795,-0.21658574319393475
sim_796,-0.23746322758135507
sim_797,-0.15120613758862345
sim_798,-0.1305284601769704
sim_799,-0.18364337724340873
sim_800,-0.20601358409172887
sim_801,-0.19273695137963753
sim_802,-0.32636553043054917
sim_803,-0.15930091654202028
sim_804,-0.14563304633924756
sim_805,-0.1989561505788433
sim_806,-0.23838779992817993
sim_807,-0.25483132129739994
sim_808,-0.17463314159119936
sim_809,-0.22208204342232174
sim_810,-0.14877447917559405
sim_811,-0.33665211064705547
sim_812,-0.3575408643599931
sim_813,-0.3074381362626304
sim_814,-0.3127345218313399
sim_815,-0.2537825639954626
sim_816,-0.21557773851280626
sim_817,-0.36027494126506154
sim_818,-0.2221999684437046
sim_819,-0.15163059172346605
sim_820,-0.3074710509224937
sim_821,-0.13023213745360807
sim_822,-0.13762723793170928
sim_823,-0.44676650848410426
sim_824,-0.1896050488951273
sim_825,-0.3540933143897067
sim_826,-0.40791812083631007
sim_827,-0.22793551316610183
sim_828,-0.4937149238057238
sim_829,-0.17597993072420104
sim_830,-0.3681979918415207
sim_831,-0.2212098521893473
sim_832,-0.2697462177155766
sim_833,-0.2076012075181446
sim_834,-0.42171807194706
sim_835,-0.21089791588049212
sim_836,-0.25844712920405855
sim_837,-0.2070183279571267
sim_838,-0.24887454372883844
sim_839,-0.16052942718383723
sim_840,-0.2366077867388453
sim_841,-0.15555584944553613
sim_842,-0.3122308835693266
sim_843,-0.2675413944221293
sim_844,-0.38961659241426894
sim_845,-0.11611430649246512
sim_846,-0.2666132295709658
sim_847,-0.24605396206078856
sim_848,-0.17573842846779897
sim_849,-0.13613593494282727
sim_850,-0.19575336106411123
sim_851,-0.2916605910475325
sim_852,-0.2578475701209392
sim_853,-0.39363820781875813
sim_854,-0.19660734205318608
sim_855,-0.31747899512648337
sim_856,-0.31148635725017093
sim_857,-0.21283537352431425
sim_858,-0.18506065033518748
sim_859,-0.31328777623295434
sim_860,-0.2066867242506305
sim_861,-0.4184125454560724
sim_862,-0.12877133756284787
sim_863,-0.26114858848932476
sim_864,-0.30525429230866896
sim_865,-0.11534721446231555
sim_866,-0.15256263978522888
sim_867,-0.17220160421986663
sim_868,-0.11111078412511777
sim_869,-0.2554525399870915
sim_870,-0.4024061445940691
sim_871,-0.22378998032422115
sim_872,-0.1465463103044089
sim_873,-0.18609440084103812
sim_874,-0.1277961549846114
sim_875,-0.24906268640637452
sim_876,-0.42468323708568556
sim_877,-0.4235529739656766
sim_878,-0.18906203061321192
sim_879,-0.5246911093705373
sim_880,-0.18041335228940458
sim_881,-0.283529889375143
sim_882,-0.24687716870138288
sim_883,-0.4586451804609658
sim_884,-0.23732033181637946
sim_885,-0.24900495794742794
sim_886,-0.19762216852243197
sim_887,-0.21556372348301844
sim_888,-0.22670670984344277
sim_889,-0.38007657254047145
sim_890,-0.26971150313395564
sim_891,-0.2359085375019998
sim_892,-0.3697982402975152
sim_893,-0.3515787105484255
sim_894,-0.2804656713113226
sim_895,-0.22250232208800025
sim_896,-0.27858954993492924
sim_897,-0.1865880402971557
sim_898,-0.23993380490509397
sim_899,-0.21450352042256093
sim_900,-0.2693822179972709
sim_901,-0.29850378867188987
sim_902,-0.1612018638454613
sim_903,-0.17429295988725324
sim_904,-0.2602126772774983
sim_905,-0.2761162767981361
sim_906,-0.23099472479635075
sim_907,-0.40161008750008964
sim_908,-0.3354610975274349
sim_909,-0.16369523574480616
sim_910,-0.2624650922755938
sim_911,-0.23382453437827344
sim_912,-0.30727734237534676
sim_913,-0.156054599558357
sim_914,-0.27072656896665914
sim_915,-0.23189351033657501
sim_916,-0.2605851483171989
sim_917,-0.13423609330495967
sim_918,-0.22784108090565458
sim_919,-0.26585012655173745
sim_920,-0.15303247889313032
